GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,SPD,DIST,ORBC,DRBC,RBC,TCHS,SAST,FTAST,PASS,AST,CFGM,CFGA,CFG_PCT,UFGM,UFGA,UFG_PCT,FG_PCT,DFGM,DFGA,DFG_PCT,game_id,game_date,endpoint,dataframe_index,collection_timestamp,TEAM_NAME
0022401197,1610612761,TOR,Toronto,1630639.0,A.J. Lawson,,,21:18,4.87,1.88,1,0,1,25,0,0,14,0,2,3,0.667,1,4,0.25,0.428,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612761,TOR,Toronto,202066.0,Garrett Temple,,,1:52,4.34,0.15,0,0,0,2,0,0,2,1,0,0,0.0,0,0,0.0,0.0,1,1,1.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612761,TOR,Toronto,1629628.0,RJ Barrett,,DND - Rest,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612761,TOR,Toronto,1628449.0,Chris Boucher,,DND - Injury/Illness,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612761,TOR,Toronto,1630193.0,Immanuel Quickley,,DND - Rest,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612761,TOR,Toronto,1631197.0,Jared Rhoden,,DND - Injury/Illness,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612759,SAS,San Antonio,1630577.0,Julian Champagnie,F,,34:45,4.24,2.64,4,7,9,37,1,0,28,1,2,3,0.667,3,6,0.5,0.556,5,7,0.714,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612759,SAS,San Antonio,203084.0,Harrison Barnes,F,,34:12,4.43,2.69,1,7,8,51,0,0,34,1,1,2,0.5,3,8,0.375,0.4,1,3,0.333,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612759,SAS,San Antonio,202687.0,Bismack Biyombo,C,,14:03,4.07,0.98,4,9,13,19,0,0,15,0,0,0,0.0,1,3,0.333,0.333,0,2,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612759,SAS,San Antonio,1642264.0,Stephon Castle,G,,37:16,4.13,2.72,4,10,14,78,0,2,53,6,4,9,0.444,1,7,0.143,0.313,4,5,0.8,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612759,SAS,San Antonio,101108.0,Chris Paul,G,,33:51,3.76,2.27,1,7,8,60,1,1,42,6,0,0,0.0,5,13,0.385,0.385,3,4,0.75,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612759,SAS,San Antonio,1630572.0,Sandro Mamukelashvili,,,18:58,4.6,1.57,0,7,7,35,0,1,24,4,3,3,1.0,3,5,0.6,0.75,5,5,1.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612759,SAS,San Antonio,1629640.0,Keldon Johnson,,,27:12,4.24,2.09,5,8,12,44,0,1,23,0,7,8,0.875,3,6,0.5,0.713,1,3,0.333,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612759,SAS,San Antonio,1631103.0,Malaki Branham,,,16:44,4.62,1.38,2,3,5,21,0,0,14,0,3,3,1.0,1,1,1.0,1.0,2,4,0.5,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612759,SAS,San Antonio,1631104.0,Blake Wesley,,,19:31,4.57,1.61,0,3,3,31,0,0,20,4,1,1,1.0,1,4,0.25,0.4,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612759,SAS,San Antonio,1629162.0,Jordan McLaughlin,,,3:28,4.88,0.3,0,0,0,7,0,0,5,0,1,1,1.0,0,1,0.0,0.5,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612759,SAS,San Antonio,1629646.0,Charles Bassey,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612759,SAS,San Antonio,1630561.0,David Duke Jr.,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612759,SAS,San Antonio,1631127.0,Harrison Ingram,,DNP - Coach's Decision,0:00,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0022401197,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:28.991351,
0022401197,1610612761,TOR,Toronto,,,,,240:00,,18.67,24,46,69,414,1,3,287,32,18,32,0.563,28,65,0.431,0.474,22,28,0.786,0022401197,2025-04-13,BoxScorePlayerTrackV2,1,2025-08-10T12:36:28.992351,Raptors
0022401197,1610612759,SAS,San Antonio,,,,,240:00,,18.25,21,61,79,383,2,5,258,22,22,30,0.733,21,54,0.389,0.512,21,33,0.636,0022401197,2025-04-13,BoxScorePlayerTrackV2,1,2025-08-10T12:36:28.992351,Spurs
0022401200,1610612756,PHX,Phoenix,1628960.0,Grayson Allen,F,,27:42,4.31,2.08,0,4,4,54,2,0,37,5,1,3,0.333,7,10,0.7,0.614,0,0,0.0,0022401200,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:30.356946,
0022401200,1610612756,PHX,Phoenix,1642346.0,Ryan Dunn,F,,29:46,4.4,2.31,9,8,17,35,1,0,23,3,3,4,0.75,2,7,0.286,0.455,1,3,0.333,0022401200,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:30.356946,
0022401200,1610612756,PHX,Phoenix,203486.0,Mason Plumlee,C,,21:59,4.36,1.66,1,7,8,35,0,0,31,3,1,1,1.0,1,3,0.333,0.5,5,7,0.714,0022401200,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:30.356946,
0022401200,1610612756,PHX,Phoenix,1631221.0,Collin Gillespie,G,,28:13,4.45,2.21,0,5,5,58,1,0,48,3,0,0,0.0,4,7,0.571,0.57,3,3,1.0,0022401200,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:30.356946,
0022401200,1610612756,PHX,Phoenix,1626145.0,Tyus Jones,G,,25:55,4.22,1.93,0,3,3,62,1,0,46,4,2,4,0.5,5,9,0.556,0.538,2,2,1.0,0022401200,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:30.356946,
0022401200,1610612756,PHX,Phoenix,1642345.0,Oso Ighodaro,,,26:01,3.81,1.79,2,9,11,46,1,2,35,3,3,4,0.75,2,3,0.667,0.713,5,5,1.0,0022401200,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:30.356946,
0022401200,1610612756,PHX,Phoenix,1626220.0,Royce O'Neale,,,21:05,3.66,1.37,0,5,5,36,0,0,24,3,0,0,0.0,2,9,0.222,0.222,0,0,0.0,0022401200,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:30.356946,
0022401200,1610612756,PHX,Phoenix,1628998.0,Cody Martin,,,12:25,4.12,0.94,0,4,4,15,0,0,11,1,1,1,1.0,0,2,0.0,0.333,0,0,0.0,0022401200,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:30.356946,
0022401200,1610612756,PHX,Phoenix,1628420.0,Monté Morris,,,21:02,4.02,1.49,1,3,4,40,0,1,32,2,1,2,0.5,2,5,0.4,0.428,1,1,1.0,0022401200,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:30.356946,
0022401200,1610612756,PHX,Phoenix,1631102.0,TyTy Washington Jr.,,,12:59,4.17,0.96,1,2,3,21,0,0,15,1,0,0,0.0,1,5,0.2,0.2,0,0,0.0,0022401200,2025-04-13,BoxScorePlayerTrackV2,0,2025-08-10T12:36:30.356946,
