gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocks,blocksAgainst,foulsPersonal,foulsDrawn,game_id,game_date,endpoint,dataframe_index,collection_timestamp
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1631197.0,Jared,Rhoden,J. Rhoden,jared-rhoden,,DND - Injury/Illness,8,,0,0,0,0,0,0,0,0,0,0,0,0,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1630577.0,Julian,Champagnie,J. Champagnie,julian-champagnie,F,,30,34:45,0,0,0,0,6,6,13,42,1,0,1,0,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,203084.0,Harrison,Barnes,H. Barnes,harrison-barnes,F,,40,34:12,0,0,0,4,11,9,18,40,0,0,0,4,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,202687.0,Bismack,Biyombo,B. Biyombo,bismack-biyombo,C,,15,14:03,0,2,0,2,2,2,2,14,0,0,1,0,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1642264.0,Stephon,Castle,S. Castle,stephon-castle,G,,5,37:16,0,0,3,8,18,12,19,48,0,1,2,6,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,101108.0,Chris,Paul,C. Paul,chris-paul,G,,3,33:51,3,5,0,2,6,9,13,40,0,0,2,3,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1630572.0,Sandro,Mamukelashvili,S. Mamukelashvili,sandro-mamukelashvili,,,54,18:58,2,0,2,12,9,6,9,20,0,0,1,1,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1629640.0,Keldon,Johnson,K. Johnson,keldon-johnson,,,0,27:12,4,3,3,18,9,10,7,28,1,0,0,5,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1631103.0,Malaki,Branham,M. Branham,malaki-branham,,,22,16:44,2,0,6,6,12,3,11,16,0,0,3,1,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1631104.0,Blake,Wesley,B. Wesley,blake-wesley,,,14,19:31,2,0,2,4,12,3,13,20,0,0,2,3,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1629162.0,Jordan,McLaughlin,J. McLaughlin,jordan-mclaughlin,,,11,3:28,2,0,2,2,5,0,5,2,0,0,1,0,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1629646.0,Charles,Bassey,C. Bassey,charles-bassey,,DNP - Coach's Decision,28,,0,0,0,0,0,0,0,0,0,0,0,0,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1630561.0,David,Duke Jr.,D. Duke Jr.,david-duke-jr,,DNP - Coach's Decision,7,,0,0,0,0,0,0,0,0,0,0,0,0,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1631127.0,Harrison,Ingram,H. Ingram,harrison-ingram,,DNP - Coach's Decision,55,,0,0,0,0,0,0,0,0,0,0,0,0,0022401197,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:25.784462
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,,,,,,,,,240:00,15,10,18,58,18,12,22,54,2,1,13,23,0022401197,2025-04-13,BoxScoreMiscV3,1,2025-08-10T12:32:25.785462
0022401197,1610612761,Toronto,Raptors,TOR,raptors,,,,,,,,,240:00,18,12,22,54,15,10,18,58,1,2,23,13,0022401197,2025-04-13,BoxScoreMiscV3,1,2025-08-10T12:32:25.785462
0022401200,1610612756,Phoenix,Suns,PHX,suns,1628960.0,Grayson,Allen,G. Allen,grayson-allen,F,,8,27:42,0,0,0,6,11,6,9,22,0,1,1,0,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612756,Phoenix,Suns,PHX,suns,1642346.0,Ryan,Dunn,R. Dunn,ryan-dunn,F,,0,29:46,0,5,0,6,7,5,6,22,1,1,1,0,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612756,Phoenix,Suns,PHX,suns,203486.0,Mason,Plumlee,M. Plumlee,mason-plumlee,C,,22,21:59,0,0,0,4,8,6,9,20,0,0,0,0,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612756,Phoenix,Suns,PHX,suns,1631221.0,Collin,Gillespie,C. Gillespie,collin-gillespie,G,,12,28:13,0,0,0,2,10,2,9,22,0,0,1,2,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612756,Phoenix,Suns,PHX,suns,1626145.0,Tyus,Jones,T. Jones,tyus-jones,G,,21,25:55,9,0,7,6,7,3,8,20,0,0,0,1,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612756,Phoenix,Suns,PHX,suns,1642345.0,Oso,Ighodaro,O. Ighodaro,oso-ighodaro,,,4,26:01,2,2,0,8,12,8,2,24,0,0,2,1,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612756,Phoenix,Suns,PHX,suns,1626220.0,Royce,O'Neale,R. O'Neale,royce-oneale,,,00,21:05,0,0,0,2,18,12,5,18,0,0,1,1,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612756,Phoenix,Suns,PHX,suns,1628998.0,Cody,Martin,C. Martin,cody-martin,,,17,12:25,0,0,0,0,9,6,2,12,0,1,1,0,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612756,Phoenix,Suns,PHX,suns,1628420.0,Monté,Morris,M. Morris,monté-morris,,,23,21:02,0,0,0,2,15,11,5,20,0,1,2,0,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612756,Phoenix,Suns,PHX,suns,1631102.0,TyTy,Washington Jr.,T. Washington Jr.,tyty-washington-jr,,,14,12:59,0,0,0,0,3,11,0,18,0,0,0,1,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612756,Phoenix,Suns,PHX,suns,1627814.0,Damion,Lee,D. Lee,damion-lee,,,10,5:33,2,0,0,4,0,0,0,8,0,0,0,0,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612756,Phoenix,Suns,PHX,suns,1629626.0,Bol,Bol,B. Bol,bol-bol,,,11,4:34,0,0,0,0,0,0,0,8,0,0,0,0,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612756,Phoenix,Suns,PHX,suns,1641779.0,Jalen,Bridges,J. Bridges,jalen-bridges,,,15,2:46,0,0,0,0,0,0,0,6,0,0,0,1,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612758,Sacramento,Kings,SAC,kings,201942.0,DeMar,DeRozan,D. DeRozan,demar-derozan,F,,10,27:33,2,0,0,2,8,4,4,28,0,1,1,0,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
0022401200,1610612758,Sacramento,Kings,SAC,kings,1631099.0,Keegan,Murray,K. Murray,keegan-murray,F,,13,22:43,0,0,2,4,2,2,0,12,0,0,0,0,0022401200,2025-04-13,BoxScoreMiscV3,0,2025-08-10T12:32:32.517884
