GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
By Actual Margin,Behind 6 - 10 Points,44,19,25,0.432,201.48666666666668,25,59,0.424,22,50,0.44,3,3,1.0,1,17,18,11,8,3,0,0,13,7,75,113,114.1,0,0,132.0,5,7,10,8,3,3,3,7,3,3,5,4,5,1,6,4,4,4,1,5,5,1,6,3,3,2,4,1,1,3,1,1631260,PlayerDashboardByGameSplits,4,2025-08-10T12:49:58.760274
By Actual Margin,Behind 1 - 5 Points,56,30,26,0.536,347.05333333333334,42,99,0.424,36,85,0.424,4,5,0.8,4,39,43,24,7,5,0,1,32,8,124,137,219.6,0,0,237.0,1,4,11,7,1,1,1,6,1,1,7,1,1,5,1,1,1,1,2,3,5,10,11,1,1,1,1,1,1,1,1,1631260,PlayerDashboardByGameSplits,4,2025-08-10T12:49:58.760274
By Actual Margin,Tied,54,32,22,0.593,94.37666666666667,7,22,0.318,5,17,0.294,0,0,0.0,1,8,9,7,4,3,0,0,12,1,19,-38,45.3,0,0,46.0,3,3,9,6,8,10,8,11,10,8,11,9,9,9,6,8,9,7,5,5,5,1,5,10,10,10,10,1,1,10,1,1631260,PlayerDashboardByGameSplits,4,2025-08-10T12:49:58.760274
By Actual Margin,Ahead 1 - 5 Points,56,36,20,0.643,280.135,29,61,0.475,26,55,0.473,1,2,0.5,1,27,28,15,3,7,3,2,28,5,85,-30,168.1,0,0,174.0,1,2,8,5,2,2,2,3,2,2,3,7,6,8,6,2,2,2,6,1,1,11,10,5,2,8,2,1,1,2,1,1631260,PlayerDashboardByGameSplits,4,2025-08-10T12:49:58.760274
By Actual Margin,Ahead 6 - 10 Points,48,37,11,0.771,191.22333333333333,22,48,0.458,19,42,0.452,4,4,1.0,3,19,22,9,3,3,2,0,18,6,67,-31,118.9,0,0,127.0,4,1,5,4,4,4,4,4,4,4,4,1,4,1,2,3,3,5,6,5,2,1,9,4,4,9,3,1,1,4,1,1631260,PlayerDashboardByGameSplits,4,2025-08-10T12:49:58.760274
By Actual Margin,Ahead 11 - 15 Points,30,27,3,0.9,147.64333333333335,12,31,0.387,11,28,0.393,3,5,0.6,2,8,10,7,5,5,1,0,16,4,38,46,73.5,0,0,78.0,7,5,3,3,5,6,6,8,5,5,8,4,1,7,4,8,7,7,3,3,3,1,7,7,5,5,6,1,1,5,1,1631260,PlayerDashboardByGameSplits,4,2025-08-10T12:49:58.760274
By Actual Margin,Ahead 16 - 20 Points,25,23,2,0.92,123.64166666666667,13,34,0.382,9,28,0.321,1,1,1.0,3,9,12,8,5,6,0,0,17,8,36,-28,75.4,0,0,77.0,8,6,2,2,6,5,5,9,7,5,10,7,8,1,2,6,5,6,3,2,5,1,8,1,6,7,5,1,1,6,1,1631260,PlayerDashboardByGameSplits,4,2025-08-10T12:49:58.760274
By Actual Margin,Ahead more than 20 Points,18,18,0,1.0,72.63833333333334,9,21,0.429,7,16,0.438,4,5,0.8,2,10,12,4,1,2,0,0,4,2,29,-55,54.4,0,0,56.0,10,8,1,1,9,8,9,5,8,9,6,1,1,5,4,5,5,11,9,9,5,1,2,9,8,11,8,1,1,9,1,1631260,PlayerDashboardByGameSplits,4,2025-08-10T12:49:58.760274
Overall,2024,5,0,5,0.0,111.11333333333333,20,62,0.323,10,31,0.323,6,10,0.6,4,13,17,14,12,3,2,5,12,9,56,-33,100.4,0,0,107.0,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,1,1642358,PlayerDashboardByGameSplits,0,2025-08-10T12:50:03.736843
Overall,2024-25,49,20,29,0.408,1209.7233333333334,184,447,0.412,63,183,0.344,54,66,0.818,19,116,135,151,88,30,8,43,102,61,500,-126,914.5,0,0,925.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,4,1642358,PlayerDashboardByGameSplits,0,2025-08-10T12:50:03.736843
By Half,First Half,46,16,30,0.348,629.5266666666666,90,240,0.375,30,97,0.309,22,31,0.71,5,66,71,77,58,15,7,31,57,32,238,-70,446.7,0,0,460.0,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,3,3,2,2,2,2,1,1,2,4,1642358,PlayerDashboardByGameSplits,1,2025-08-10T12:50:03.736843
By Half,Second Half,54,20,34,0.37,687.9266666666666,114,269,0.424,43,117,0.368,38,45,0.844,18,63,81,88,42,18,3,17,56,38,318,-90,568.2,0,0,572.0,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,3,1,1,1,1,4,1642358,PlayerDashboardByGameSplits,1,2025-08-10T12:50:03.736843
By Half,Overtime,1,1,0,1.0,3.3833333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0,0,0.0,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,1,3,1,1,3,1,1642358,PlayerDashboardByGameSplits,1,2025-08-10T12:50:03.736843
By Period,1,45,16,29,0.356,332.81333333333333,52,137,0.38,20,60,0.333,12,18,0.667,2,40,42,37,29,8,6,18,19,15,139,-8,257.9,0,0,266.0,4,2,2,3,2,3,2,3,2,2,2,3,3,4,4,1,2,4,1,2,1,5,2,4,3,2,3,1,1,2,4,1642358,PlayerDashboardByGameSplits,2,2025-08-10T12:50:03.736843
By Period,2,46,16,30,0.348,296.7133333333333,38,103,0.369,10,37,0.27,10,13,0.769,3,26,29,40,29,7,1,13,38,17,99,-62,188.8,0,0,194.0,3,2,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,1,3,3,4,5,3,4,5,4,1,1,4,4,1642358,PlayerDashboardByGameSplits,2,2025-08-10T12:50:03.736843
By Period,3,47,16,31,0.34,330.13666666666666,53,138,0.384,17,52,0.327,16,20,0.8,10,26,36,41,14,7,2,7,26,19,145,-40,262.7,0,0,257.0,2,2,4,5,3,2,1,2,3,3,3,2,2,2,1,3,3,2,4,3,2,2,3,1,2,3,2,1,1,3,4,1642358,PlayerDashboardByGameSplits,2,2025-08-10T12:50:03.736843
By Period,4,51,20,31,0.392,357.79,61,131,0.466,26,65,0.4,22,25,0.88,8,37,45,47,28,11,1,10,30,19,173,-50,305.5,0,0,315.0,1,1,4,2,1,1,3,1,1,1,1,1,1,1,2,2,1,1,3,1,3,3,4,1,1,4,1,1,1,1,4,1642358,PlayerDashboardByGameSplits,2,2025-08-10T12:50:03.736843
By Period,5,1,1,0,1.0,3.3833333333333333,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0,0,0.0,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,1,1,5,1,1642358,PlayerDashboardByGameSplits,2,2025-08-10T12:50:03.736843
By Score Margin,Tied,40,16,24,0.4,61.08833333333333,6,16,0.375,1,8,0.125,0,2,0.0,0,6,6,6,6,3,1,2,3,2,13,-4,35.2,0,0,34.0,4,2,2,1,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,3,1,1,6,6,2,6,1,1,6,4,1642358,PlayerDashboardByGameSplits,3,2025-08-10T12:50:03.736843
