gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,game_id,game_date,endpoint,dataframe_index,collection_timestamp,startersBench
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1630703.0,Scoot,Henderson,S. Henderson,scoot-henderson,,DND - Concussion Protocol,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1641871.0,Duop,Reath,D. Reath,duop-reath,,DNP - Coach's Decision,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1631101.0,Shaedon,Sharpe,S. Sharpe,shaedon-sharpe,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1629014.0,Anfernee,Simons,A. Simons,anfernee-simons,,DND - Injury/Illness,,,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0022401199,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.119942,
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,,,,,,,,,141:33,28,65,0.431,12,29,0.414,6,17,0.353,21,18,39,19,4,4,8,10,74,,0022401199,2025-04-13,BoxScoreTraditionalV3,1,2025-08-10T12:39:08.119942,Starters
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,,,,,,,,,141:33,14,31,0.452,3,13,0.231,4,4,1.0,6,11,17,8,3,2,6,6,35,,0022401199,2025-04-13,BoxScoreTraditionalV3,1,2025-08-10T12:39:08.119942,Bench
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,,,,,,,,,165:03,23,60,0.383,7,22,0.318,9,10,0.9,4,15,19,16,6,5,13,14,62,,0022401199,2025-04-13,BoxScoreTraditionalV3,1,2025-08-10T12:39:08.119942,Starters
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,,,,,,,,,165:03,8,20,0.4,2,6,0.333,1,4,0.25,9,14,23,5,3,6,7,7,19,,0022401199,2025-04-13,BoxScoreTraditionalV3,1,2025-08-10T12:39:08.119942,Bench
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,,,,,,,,,240:00,42,96,0.438,15,42,0.357,10,21,0.476,27,29,56,27,7,6,14,16,109,28.0,0022401199,2025-04-13,BoxScoreTraditionalV3,2,2025-08-10T12:39:08.120561,
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,,,,,,,,,240:00,31,80,0.388,9,28,0.321,10,14,0.714,13,29,42,21,9,11,20,21,81,-28.0,0022401199,2025-04-13,BoxScoreTraditionalV3,2,2025-08-10T12:39:08.120561,
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1642419.0,Jamison,Battle,J. Battle,jamison-battle,F,,,42:21,9,19,0.474,7,15,0.467,0,0,0.0,1,8,9,3,0,0,2,5,25,-7.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630567.0,Scottie,Barnes,S. Barnes,scottie-barnes,F,,,36:34,15,23,0.652,2,2,1.0,3,4,0.75,3,8,11,8,0,0,4,0,35,-9.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1642367.0,Jonathan,Mogbo,J. Mogbo,jonathan-mogbo,C,,,34:55,4,14,0.286,0,5,0.0,1,2,0.5,4,10,14,10,4,0,2,3,9,4.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630534.0,Ochai,Agbaji,O. Agbaji,ochai-agbaji,G,,,37:31,6,15,0.4,2,8,0.25,0,0,0.0,1,1,2,1,4,1,1,5,14,-10.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1642347.0,Jamal,Shead,J. Shead,jamal-shead,G,,,36:13,4,12,0.333,2,5,0.4,1,2,0.5,2,2,4,9,0,0,3,3,11,-3.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630658.0,Colin,Castleton,C. Castleton,colin-castleton,,,,29:16,5,7,0.714,0,0,0.0,0,1,0.0,1,1,2,0,0,0,0,6,10,-4.0,0022401197,2025-04-13,BoxScoreTraditionalV3,0,2025-08-10T12:39:08.771834,
