GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,player_id,endpoint,dataframe_index,collection_timestamp
By Year,2024-25,1610612743,DEN,2025-04-13T00:00:00,51,33,18,0.647,1446.7166666666667,264,497,0.531,75,172,0.436,145,179,0.81,80,167,247,164,73,23,14,37,82,137,748,301,1328.4,3,0,1308.0,9,5,3,4,9,9,9,3,5,7,1,8,9,1,9,9,9,6,8,9,11,5,3,9,8,4,9,9,3,9,1,203932,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:47.007015
By Year,2023-24,1610612743,DEN,2024-04-14T00:00:00,73,49,24,0.671,2296.81,398,716,0.556,40,138,0.29,177,269,0.658,174,297,471,259,105,56,45,57,142,223,1013,423,2164.7,12,0,1985.0,5,1,5,2,4,4,7,2,10,9,9,3,2,10,1,6,4,2,4,5,4,11,8,3,6,2,3,4,3,4,1,203932,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:47.007015
By Year,2022-23,1610612743,DEN,2023-04-08T00:00:00,68,45,23,0.662,2055.1066666666666,429,761,0.564,60,173,0.347,191,314,0.608,164,282,446,203,98,54,51,65,129,242,1109,518,2165.7,11,0,2028.0,6,3,4,3,5,3,6,1,7,6,4,1,1,12,2,8,6,4,6,6,3,12,7,2,3,1,2,6,3,2,1,203932,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:47.007015
By Year,2021-22,1610612743,DEN,2022-04-07T00:00:00,75,46,29,0.613,2375.4183333333335,434,834,0.52,87,260,0.335,171,230,0.743,125,314,439,188,133,44,44,52,148,200,1126,321,2065.8,6,0,2016.0,4,2,6,5,2,2,4,4,3,4,6,4,4,2,5,5,7,5,2,8,6,9,9,5,2,3,4,8,3,3,1,203932,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:47.007015
By Year,2020-21,-1,TOT,2021-05-16T00:00:00,50,29,21,0.58,1383.78,231,499,0.463,59,176,0.335,97,149,0.651,77,207,284,161,97,33,34,29,89,137,618,60,1304.3,3,1,1256.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,203932,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:47.007015
By Year,2020-21,1610612743,DEN,2021-05-16T00:00:00,25,19,6,0.76,648.1433333333333,103,206,0.5,17,64,0.266,31,44,0.705,38,80,118,56,30,17,14,12,40,50,254,95,542.6,0,0,507.0,11,9,1,1,12,11,12,5,11,11,12,12,12,6,12,12,12,11,12,11,11,1,1,12,11,6,12,12,3,12,1,203932,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:47.007015
By Year,2020-21,1610612753,ORL,2021-03-24T00:00:00,25,10,15,0.4,735.6366666666667,128,293,0.437,42,112,0.375,66,105,0.629,39,127,166,105,67,16,20,17,49,87,364,-35,761.7,3,1,749.0,11,12,2,9,11,10,10,10,8,10,2,10,10,11,11,10,11,10,9,12,10,3,2,10,10,7,10,9,1,10,1,203932,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:47.007015
By Year,2019-20,1610612753,ORL,2020-08-05T00:00:00,62,30,32,0.484,2017.1433333333334,335,767,0.437,73,237,0.308,151,224,0.674,107,368,475,228,100,51,39,42,125,205,894,-68,1976.0,20,1,1850.0,7,7,7,7,6,7,5,11,6,5,7,7,6,8,7,3,3,3,5,7,8,6,6,4,7,8,6,1,1,7,1,203932,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:47.007015
By Year,2018-19,1610612753,ORL,2019-04-10T00:00:00,78,40,38,0.513,2632.5333333333333,470,1046,0.449,121,347,0.349,185,253,0.731,129,445,574,289,162,57,56,52,172,262,1246,107,2545.3,19,0,2456.0,2,4,9,6,1,1,1,8,1,1,3,2,3,3,4,1,1,1,1,4,1,9,11,1,1,5,1,2,3,1,1,203932,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:47.007015
By Year,2017-18,1610612753,ORL,2018-04-11T00:00:00,58,19,39,0.328,1909.0783333333334,375,865,0.434,115,342,0.336,157,225,0.698,87,370,457,136,107,59,45,42,111,192,1022,-92,1979.4,17,0,1938.0,8,9,10,11,7,6,2,12,2,2,5,5,5,7,8,2,5,8,3,2,4,6,5,6,4,10,5,3,3,5,1,203932,PlayerDashboardByYearOverYear,1,2025-08-10T12:54:47.007015
