gameId,teamId,teamCity,teamName,teamTricode,teamSlug,personId,firstName,familyName,nameI,playerSlug,position,comment,jerseyNum,minutes,usagePercentage,percentageFieldGoalsMade,percentageFieldGoalsAttempted,percentageThreePointersMade,percentageThreePointersAttempted,percentageFreeThrowsMade,percentageFreeThrowsAttempted,percentageReboundsOffensive,percentageReboundsDefensive,percentageReboundsTotal,percentageAssists,percentageTurnovers,percentageSteals,percentageBlocks,percentageBlocksAllowed,percentagePersonalFouls,percentagePersonalFoulsDrawn,percentagePoints,game_id,game_date,endpoint,dataframe_index,collection_timestamp
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,1629014.0,Anfernee,Simons,A. Simons,anfernee-simons,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401199,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:41.898098
0022401199,1610612757,Portland,Trail Blazers,POR,blazers,,,,,,,,,240:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0022401199,2025-04-13,BoxScoreUsageV3,1,2025-08-10T12:39:41.898098
0022401199,1610612747,Los Angeles,Lakers,LAL,lakers,,,,,,,,,240:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0022401199,2025-04-13,BoxScoreUsageV3,1,2025-08-10T12:39:41.898098
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1642419.0,Jamison,Battle,J. Battle,jamison-battle,F,,,42:21,0.198,0.22,0.216,0.5,0.405,0.0,0.0,0.083,0.286,0.225,0.103,0.167,0.0,0.0,0.0,0.25,0.0,0.24,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630567.0,Scottie,Barnes,S. Barnes,scottie-barnes,F,,,36:34,0.319,0.429,0.311,0.25,0.08,0.273,0.286,0.3,0.308,0.306,0.364,0.364,0.0,0.0,0.0,0.0,0.222,0.393,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1642367.0,Jonathan,Mogbo,J. Mogbo,jonathan-mogbo,C,,,34:55,0.193,0.118,0.197,0.0,0.172,0.091,0.154,0.4,0.455,0.438,0.417,0.182,0.5,0.0,0.0,0.2,0.125,0.101,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630534.0,Ochai,Agbaji,O. Agbaji,ochai-agbaji,G,,,37:31,0.172,0.167,0.192,0.222,0.267,0.0,0.0,0.091,0.04,0.056,0.043,0.1,0.667,1.0,1.0,0.25,0.1,0.163,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1642347.0,Jamal,Shead,J. Shead,jamal-shead,G,,,36:13,0.18,0.111,0.162,0.154,0.152,0.143,0.2,0.222,0.087,0.125,0.321,0.3,0.0,0.0,0.5,0.188,0.444,0.12,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630658.0,Colin,Castleton,C. Castleton,colin-castleton,,,,29:16,0.104,0.179,0.123,0.0,0.0,0.0,0.1,0.2,0.059,0.091,0.0,0.0,0.0,0.0,0.0,0.429,0.222,0.141,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630639.0,A.J.,Lawson,A. Lawson,aj-lawson,,,,21:18,0.22,0.167,0.179,0.143,0.222,0.7,0.583,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.083,0.333,0.264,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
0022401197,1610612761,Toronto,Raptors,TOR,raptors,202066.0,Garrett,Temple,G. Temple,garrett-temple,,,,1:52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1629628.0,RJ,Barrett,R. Barrett,rj-barrett,,DND - Rest,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1628449.0,Chris,Boucher,C. Boucher,chris-boucher,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1630193.0,Immanuel,Quickley,I. Quickley,immanuel-quickley,,DND - Rest,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
0022401197,1610612761,Toronto,Raptors,TOR,raptors,1631197.0,Jared,Rhoden,J. Rhoden,jared-rhoden,,DND - Injury/Illness,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,1630577.0,Julian,Champagnie,J. Champagnie,julian-champagnie,F,,,34:45,0.108,0.161,0.145,0.444,0.286,0.0,0.0,0.167,0.167,0.167,0.067,0.0,0.0,0.5,0.0,0.111,0.0,0.154,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
0022401197,1610612759,San Antonio,Spurs,SAS,spurs,203084.0,Harrison,Barnes,H. Barnes,harrison-barnes,F,,,34:12,0.171,0.133,0.159,0.2,0.259,0.421,0.364,0.125,0.148,0.143,0.063,0.0,0.375,0.0,0.0,0.0,0.308,0.202,0022401197,2025-04-13,BoxScoreUsageV3,0,2025-08-10T12:39:42.572111
